"lon" "lat" "date" "SPEI"
"156" 14.0499 45.6499 "1950-06-05" -2.99712250427452
"157" 14.0499 45.6499 "1950-06-06" -3.12826590079086
"158" 14.0499 45.6499 "1950-06-07" -3.39164704211461
"159" 14.0499 45.6499 "1950-06-08" -2.59359455789366
"160" 14.0499 45.6499 "1950-06-09" -3.23728537551039
"161" 14.0499 45.6499 "1950-06-10" -0.222083075901724
"162" 14.0499 45.6499 "1950-06-11" -3.41530119056666
"163" 14.0499 45.6499 "1950-06-12" -3.2110093129713
"164" 14.0499 45.6499 "1950-06-13" 1.97647717676305
"165" 14.0499 45.6499 "1950-06-14" 9.99188229687971
"166" 14.0499 45.6499 "1950-06-15" -0.174600745059366
"167" 14.0499 45.6499 "1950-06-16" 1.75410064568754
"168" 14.0499 45.6499 "1950-06-17" 7.46085149687755
"169" 14.0499 45.6499 "1950-06-18" 5.08948683301118
"170" 14.0499 45.6499 "1950-06-19" -3.30070737907158
"171" 14.0499 45.6499 "1950-06-20" -3.53865874667487
"172" 14.0499 45.6499 "1950-06-21" -2.57899856274987
"173" 14.0499 45.6499 "1950-06-22" -3.30426854111792
"174" 14.0499 45.6499 "1950-06-23" -2.82682847495872
"175" 14.0499 45.6499 "1950-06-24" -3.35167229376302
"176" 14.0499 45.6499 "1950-06-25" 14.5942654139544
"177" 14.0499 45.6499 "1950-06-26" 13.9519281933465
"178" 14.0499 45.6499 "1950-06-27" -3.66062804780752
"179" 14.0499 45.6499 "1950-06-28" -4.11365486095075
"180" 14.0499 45.6499 "1950-06-29" -4.51883890341433
"181" 14.0499 45.6499 "1950-06-30" -4.50357693424706
"182" 14.0499 45.6499 "1950-07-01" -3.57228036566596
"183" 14.0499 45.6499 "1950-07-02" -3.87492642501213
"184" 14.0499 45.6499 "1950-07-03" -4.11906459872758
"185" 14.0499 45.6499 "1950-07-04" -3.91924061311266
"186" 14.0499 45.6499 "1950-07-05" -4.02664270695485
"187" 14.0499 45.6499 "1950-07-06" -3.96084593735843
"188" 14.0499 45.6499 "1950-07-07" 10.6022110579206
"189" 14.0499 45.6499 "1950-07-08" -2.90247364466432
"190" 14.0499 45.6499 "1950-07-09" -3.33031966600969
"191" 14.0499 45.6499 "1950-07-10" 1.60206200393689
"192" 14.0499 45.6499 "1950-07-11" -2.73053428918551
"193" 14.0499 45.6499 "1950-07-12" -1.28917778630212
"194" 14.0499 45.6499 "1950-07-13" -3.58430029865008
"195" 14.0499 45.6499 "1950-07-14" -0.939436780255262
"196" 14.0499 45.6499 "1950-07-15" 16.1705769512558
"197" 14.0499 45.6499 "1950-07-16" -3.33484605607029
"198" 14.0499 45.6499 "1950-07-17" -3.70619297532124
"199" 14.0499 45.6499 "1950-07-18" -3.59804222903297
"200" 14.0499 45.6499 "1950-07-19" -4.13806513073487
"201" 14.0499 45.6499 "1950-07-20" -3.64539695991395
"202" 14.0499 45.6499 "1950-07-21" -3.83641790317322
"203" 14.0499 45.6499 "1950-07-22" -4.50723780385094
"204" 14.0499 45.6499 "1950-07-23" 1.74924739745717
"205" 14.0499 45.6499 "1950-07-24" -0.234252189587244
"206" 14.0499 45.6499 "1950-07-25" -3.88113920933559
"207" 14.0499 45.6499 "1950-07-26" -4.7327980526139
"208" 14.0499 45.6499 "1950-07-27" -3.95798975575242
"209" 14.0499 45.6499 "1950-07-28" -1.39755923599275
"210" 14.0499 45.6499 "1950-07-29" 1.28036152055053
"211" 14.0499 45.6499 "1950-07-30" -3.72101850547002
"212" 14.0499 45.6499 "1950-07-31" -0.107673861090857
"213" 14.0499 45.6499 "1950-08-01" 19.6912994388942
"214" 14.0499 45.6499 "1950-08-02" 2.54897760831199
"215" 14.0499 45.6499 "1950-08-03" 21.5779058067629
"216" 14.0499 45.6499 "1950-08-04" -2.5340819008432
"217" 14.0499 45.6499 "1950-08-05" -3.17666535610718
"218" 14.0499 45.6499 "1950-08-06" -3.24321351414584
"219" 14.0499 45.6499 "1950-08-07" -3.41976898346299
"220" 14.0499 45.6499 "1950-08-08" -3.18044003552344
"221" 14.0499 45.6499 "1950-08-09" -3.53377247338936
"222" 14.0499 45.6499 "1950-08-10" -3.26639866712507
"223" 14.0499 45.6499 "1950-08-11" -3.33128974971837
"224" 14.0499 45.6499 "1950-08-12" -3.03515417447727
"225" 14.0499 45.6499 "1950-08-13" -3.06667127671968
"226" 14.0499 45.6499 "1950-08-14" -2.98403833525308
"227" 14.0499 45.6499 "1950-08-15" 12.8197455825747
"228" 14.0499 45.6499 "1950-08-16" -2.53697931757388
"229" 14.0499 45.6499 "1950-08-17" 20.7650170760527
"230" 14.0499 45.6499 "1950-08-18" 15.9697828113373
"231" 14.0499 45.6499 "1950-08-19" -2.85061971007732
"232" 14.0499 45.6499 "1950-08-20" -3.29183378961149
"233" 14.0499 45.6499 "1950-08-21" -3.70971487858947
"234" 14.0499 45.6499 "1950-08-22" -4.05164780359109
"235" 14.0499 45.6499 "1950-08-23" -4.30681605458403
"236" 14.0499 45.6499 "1950-08-24" -4.33356885389649
"237" 14.0499 45.6499 "1950-08-25" -4.21901802162423
"238" 14.0499 45.6499 "1950-08-26" -4.04196676152814
"239" 14.0499 45.6499 "1950-08-27" -4.31559746680051
"240" 14.0499 45.6499 "1950-08-28" -4.63255243346407
"241" 14.0499 45.6499 "1950-08-29" -4.07588073508365
"242" 14.0499 45.6499 "1950-08-30" -3.76342603762374
